id	fastbaps
25825_2#106	6
25818_2#45	6
25825_2#127	6
25818_2#170	6
25818_3#359	6
25818_3#247	6
21242_3#61	6
21242_4#5	6
17966_3#37	6
25818_3#291	6
25818_3#255	6
25818_3#324	6
25818_2#237	12
21242_4#43	12
25825_2#166	12
25818_3#350	12
25825_2#8	12
25818_3#230	12
21485_4#37	12
21485_4#16	12
25825_2#165	12
25818_3#274	12
25818_3#259	12
25818_2#309	12
21242_3#176	12
21242_3#6	12
17966_3#28	12
25818_2#38	12
25818_2#277	12
25818_3#369	12
25825_2#118	12
25825_2#125	12
25818_2#314	3
17966_3#51	3
25818_3#323	3
25825_2#23	3
25825_2#79	3
25825_2#5	3
21242_3#74	3
25818_2#25	3
25818_2#213	3
21242_3#29	3
21242_3#30	3
25818_3#378	3
17966_3#21	3
21242_4#12	3
25818_3#276	3
25818_2#163	3
25825_2#103	3
21242_4#9	3
21242_4#39	3
21242_3#152	3
21242_3#184	3
21242_3#149	3
25825_2#152	3
25818_2#273	3
25825_2#71	3
25825_2#10	3
25818_2#260	3
17966_3#43	3
21242_3#39	3
21242_4#101	3
25818_2#36	3
25818_3#346	3
21242_3#65	3
21242_4#75	3
21242_4#58	3
25825_2#58	3
17966_3#23	3
21242_3#31	3
21242_3#172	3
21242_3#22	3
21242_3#189	3
21242_3#185	3
21242_3#159	3
17966_3#45	3
25825_2#21	3
25825_2#114	3
21242_3#120	3
25818_3#374	3
25825_2#124	3
25818_3#289	3
21242_3#51	3
21242_3#94	3
25818_2#199	3
25825_2#169	3
21242_4#80	3
21242_4#21	3
21242_3#50	3
25818_2#166	3
21242_4#47	3
25818_2#10	3
25818_3#239	3
25825_2#37	3
25818_2#264	3
25825_2#171	3
21242_3#2	3
21242_4#67	3
21242_4#63	3
21242_4#62	14
21242_4#81	14
21242_4#76	14
21242_4#77	14
21242_4#70	11
17966_3#33	11
25825_2#141	11
25818_3#282	11
25818_3#277	11
25818_2#165	11
25818_2#182	11
21485_4#27	11
25825_2#96	11
25818_2#247	11
21242_4#133	11
21242_4#132	11
25825_2#168	11
25818_2#235	11
21242_4#127	11
25818_3#335	11
21242_3#156	11
25818_3#349	11
25818_2#183	11
21242_4#94	11
25818_3#353	11
25818_3#322	11
21242_3#63	11
25818_3#244	11
25818_2#296	11
25818_2#278	11
25818_3#295	11
25818_2#249	11
25825_2#34	11
25818_2#8	11
25818_2#16	11
21242_4#85	11
25818_3#241	11
25818_2#211	11
21242_3#188	11
21242_4#8	11
25818_2#246	11
25818_2#23	11
25818_2#248	11
21242_4#15	11
21242_3#35	11
25818_3#358	11
17966_3#26	11
17966_3#18	11
21242_3#55	11
21242_4#6	11
21242_4#104	11
25818_2#307	11
25825_2#173	11
25818_2#232	11
25825_2#164	11
21242_4#56	11
21242_3#8	11
25818_2#225	11
25818_3#365	11
25825_2#82	11
21242_3#12	11
25818_3#228	11
25825_2#190	11
21485_4#9	11
25818_3#340	11
25818_3#232	11
25825_2#85	11
25818_3#271	11
25818_2#180	11
25825_2#93	11
21242_3#136	11
21242_3#162	11
25825_2#151	11
25818_2#44	11
25818_3#260	11
21242_4#105	11
21242_4#16	11
21242_3#86	11
21242_4#103	11
21242_3#24	11
21242_4#97	11
25825_2#110	17
25825_2#22	17
25818_2#272	17
25818_2#276	17
25825_2#77	17
21242_3#7	17
25825_2#161	17
25818_2#297	17
25818_3#281	17
21242_3#108	17
25818_2#242	17
21242_4#93	17
21242_3#25	17
25818_2#187	17
25818_2#274	17
25825_2#89	17
25825_2#91	17
25818_2#164	17
17966_3#41	17
25818_2#195	17
21242_3#37	17
17966_3#15	17
21242_4#87	16
25818_3#251	16
25818_3#337	16
21242_3#17	16
25825_2#63	16
21242_3#167	16
25818_2#286	16
21242_4#100	16
21242_4#92	10
21242_3#56	10
17966_3#17	10
21242_4#66	10
25818_3#370	10
17966_3#44	10
25825_2#16	10
25818_3#344	10
21242_4#131	10
25818_3#308	10
25818_3#280	10
25818_2#6	10
25818_2#34	10
21242_4#25	10
25818_2#28	10
21242_3#115	10
